Spirited Away	['Atmospheric', 'Offbeat', 'Stylized', 'Exciting', 'young_heroes', 'rescue', 'curses_spells_and_rituals', 'Escapades', 'Imaginary', 'Supernatural', 'Youth', 'ghost', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'FANTASY', 'foreign', 'Anime', 'contemporary', '21st_century', 'Asia', 'Japan', 'Theme_Park', 'Family_outing', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Berlin_festival_winner', 'Prestigious_Awards', 'surreal', 'Serious', 'Fantastic']
The Manchurian Candidate	['Suspenseful', 'Gloomy', 'Tense', 'Biting', 'mentally_unstable', 'assassination_attempt', 'obsession', 'psychological', 'conspiracies', 'political_conspiracy', 'political_intrigue', 'Deadly', 'THRILLER', 'DRAMA', '20th_century', 'Gulf_war', 'USA', 'critically_acclaimed', 'based_on_book', 'Serious', 'Realistic', 'Violent_Content']
Going Overboard	['Humorous', 'goofy_hero', 'nothing_goes_right', 'workplace_romance', 'fish_out_of_water', 'Ambition', 'Artists_and_showbiz', 'Misfit', 'Disorder', 'COMEDY', '80s', 'Ship', 'Ocean_or_Sea', 'Silly_Humor', 'Campy', 'Not_Serious', 'Semi_fantastic']
Shutter Island	['Suspenseful', 'Mind_Bending', 'Atmospheric', 'Bleak', 'Stylized', 'Tense', 'investigation', 'uncover_truth', 'psychological', 'haunted_by_the_past', 'isolation', 'missing_person', 'Confined', 'MYSTERY', 'THRILLER', 'PERIOD', '20th_century', '50s', 'Island', 'Mental_Institution', 'award_winner', 'blockbuster', 'Twists_and_turns', 'based_on_book', 'Serious', 'Realistic', 'Nudity', 'Violent_Content']
I Accuse My Parents	['juvenile_delinquency', 'parents_and_children', 'kids_in_trouble', 'Mind_and_soul', 'Society', 'Youth', 'fall_in_love', 'teenage_life', 'DRAMA', '20th_century', '40s', 'USA', 'Serious', 'Realistic']
Star Wars	['Stylized', 'Exciting', 'Humorous', 'master_villain', 'reluctant_partners', 'daring_rescue', 'good_versus_evil', 'heroic_mission', 'space_travel', 'space_wars', 'Danger', 'Hollywood_Tone', 'ACTION', 'ADVENTURE', 'FANTASY', 'Future', 'Outer_space', 'Teens', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'groundbreaking', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'Epic', 'Saga', 'Semi_Serious', 'Fantastic', 'Orchestral', 'Special_effects', 'Mild_Violent_Content']
Gone with the Wind	['Sentimental', 'Touching', 'Captivating', 'Emotional', 'Sincere', 'couple_relations', 'fall_in_love', 'love_triangle', 'wartime_life', 'Love_and_romance', 'Society', 'Couples', 'Family_relations', 'DRAMA', 'PERIOD', 'ROMANCE', 'Hollywood_Tone', 'Melodrama', 'WAR', '19th_century', 'American_Civil_War', 'Georgia', 'USA', 'Estate', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Epic', 'Saga', 'based_on_book', 'Serious', 'Realistic', 'Slow']
Paths of Glory	['Bleak', 'Clever', 'Gloomy', 'Rough', 'Thought_Provoking', 'Cynical', 'Disturbing', 'Suspenseful', 'fighting_the_system', 'anti_war', 'military_life', 'Battles', 'Heroes', 'Military', 'Mind_and_soul', 'Rebellion', 'DRAMA', 'WAR', 'HISTORICAL', 'PERIOD', '1910s', '20th_century', 'World_War_1', 'Europe', 'France', 'award_winner', 'Classic', 'controversial', 'critically_acclaimed', 'based_on_book', 'Serious', 'Realistic', 'Violent_Content']
Apocalypse Now	['Atmospheric', 'Bleak', 'Disturbing', 'Rough', 'Captivating', 'Tense', 'soldier', 'obsessive_quest', 'psychological', 'anti_war', 'chaos_and_mayhem', 'Military', 'Mind_and_soul', 'Unfulfillment', 'WAR', 'Hollywood_Tone', 'DRAMA', '20th_century', 'Vietnam_War', 'Asia', 'Vietnam', 'Battle_Zone', 'Jungle', 'Cambodia', 'award_winner', 'critically_acclaimed', 'Essential', 'masterpiece', 'Cannes_festival_winner', 'oscar_winner', 'Prestigious_Awards', 'Epic', 'Voice_over', 'gory', 'surreal', 'based_on_book', 'Serious', 'Realistic', 'Slow', 'Nudity', 'Profanity', 'Sexual_Content', 'Violent_Content']
The Smokers	['Humorous', 'Witty', 'Offbeat', 'Biting', 'buddies', 'prank', 'vengeance', 'high_school_life', 'teenage_life', 'Youth', 'feminism', 'looking_for_sex', 'COMEDY', 'independent', '90s', 'USA', 'Wisconsin', 'High_school', 'School', 'Dark_Humor', 'Irreverent_humor', 'Semi_Serious', 'Realistic']
Mary and Max	['Sincere', 'Stylized', 'Touching', 'Bittersweet', 'Clever', 'Emotional', 'Gloomy', 'Humorous', 'social_misfits', 'friendship', 'mental_illness', 'Mind_and_soul', 'Misfit', 'Friends', 'Physical_Appearance', 'Youth', 'ANIMATION', 'DRAMA', 'COMEDY', '20th_century', '70s', 'Australia', 'New_York', 'USA', 'award_winner', 'critically_acclaimed', 'Prestigious_Awards', 'Voice_over', 'Semi_Serious', 'Realistic', 'Stop_motion', 'Mild_Violent_Content', 'Profanity']
Kis Vuk	['Exciting', 'daring_rescue', 'parents_and_children', 'animal_life', 'Imaginary', 'Family_relations', 'Friends', 'Youth', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'in_the_woods', 'Circus', 'Family_outing', 'Kids', 'Semi_Serious', 'Fantastic', '3D']
Like Stars on Earth	['Captivating', 'Emotional', 'Touching', 'dedicated_educator', 'single_parent', 'young_heroes', 'coming_of_age', 'self_discovery', 'friendship', 'teachers_and_students', 'boarding_school_life', 'DRAMA', 'foreign', 'contemporary', 'Asia', 'India', 'High_school', 'School', 'Boarding_School', 'Urban_Ghetto', 'critically_acclaimed', 'Serious', 'Realistic']
Crossover	['Tense', 'buddies', 'dedicated_educator', 'hardcase_students', 'underdog', 'contests_and_competitions', 'follow_your_dream', 'human_spirit', 'SPORT', 'DRAMA', 'contemporary', 'College', 'Urban', 'Teens', 'On_the_Road', 'Serious', 'Realistic']
Baby Geniuses	['Humorous', 'Offbeat', 'babies_and_infants', 'orphan', 'prodigy', 'twins', 'rescue', 'child_in_danger', 'experiment_gone_awry', 'Danger', 'COMEDY', 'FAMILY', 'ADVENTURE', 'Family_outing', 'Teens', 'Semi_Serious', 'Fantastic']
Gigli	['Humorous', 'gangsters', 'couple_relations', 'fall_in_love', 'Crimes', 'Couples', 'opposites_attract', 'friendship', 'kidnapping', 'COMEDY', 'ROMANCE', 'CRIME', 'contemporary', 'Los_Angeles', 'New_York', 'USA', 'Date_night', 'Semi_Serious', 'Realistic', 'Profanity', 'Sexual_Content', 'Violent_Content']
The Elephant Man	['Emotional', 'Gloomy', 'Touching', 'Captivating', 'Atmospheric', 'Bleak', 'Disturbing', 'Stylized', 'social_misfits', 'Physical_Appearance', 'Life_is_a_bitch', 'Mind_and_soul', 'Misfit', 'Society', 'Power_relations', 'human_nature', 'DRAMA', 'PERIOD', 'Experimental', '19th_century', 'Victorian', 'England', 'Europe', 'London', 'award_winner', 'critically_acclaimed', 'Essential', 'Modern_classic', 'Prestigious_Awards', 'surreal', 'based_on_book', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Slow']
Ed	['Humorous', 'Touching', 'Feel_Good', 'hotshot_lawyer', 'starting_over', 'homecoming', 'small_town_life', 'Lifestyle', 'Love_and_romance', 'Workplace', 'Couples', 'COMEDY', 'DRAMA', 'ROMANCE', 'contemporary', '21st_century', '90s', 'New_York', 'USA', 'Small_town', 'award_winner', 'Semi_Serious', 'Realistic']
Monster a-Go Go	['Suspenseful', 'Scary', 'Offbeat', 'mad_scientist', 'experiment_gone_awry', 'space_travel', 'Danger', 'Deadly', 'Escapades', 'Space_and_aliens', 'Supernatural', 'HORROR', 'independent', 'FANTASY', 'Countryside', 'Laboratory', 'Ocean_or_Sea', 'Campy', 'surreal', 'Serious', 'Fantastic']
The Exorcist	['Suspenseful', 'Scary', 'Atmospheric', 'Bleak', 'Rough', 'Sexual', 'Stylized', 'Captivating', 'clergy', 'supernatural_ability', 'curses_spells_and_rituals', 'Religions_or_Cults', 'Danger', 'Mind_and_soul', 'Rivalry', 'HORROR', '20th_century', '70s', 'USA', 'Washington_dc', 'award_winner', 'blockbuster', 'Classic', 'controversial', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Golden_globe_winner', 'based_on_book', 'Serious', 'Semi_fantastic', 'electronica', 'Special_effects', 'Strong_Sexual_Content', 'Strong_Violent_Content']
Gladiator	['Rough', 'Exciting', 'Captivating', 'Emotional', 'Stylized', 'Suspenseful', 'master_warrior', 'tragic_hero', 'vengeance', 'Heroes', 'Rivalry', 'Unfulfillment', 'corrupted_ruler', 'soldier', 'ADVENTURE', 'PERIOD', 'Hollywood_Tone', 'ACTION', 'DRAMA', 'Ancient_history', 'Roman_empire', 'Date_night', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Epic', 'Serious', 'Realistic', 'Orchestral', 'Special_effects', 'Strong_Violent_Content']
Vertigo	['Suspenseful', 'Mind_Bending', 'Atmospheric', 'Gloomy', 'mentally_unstable', 'manipulations', 'obsession', 'psychological', 'fall_in_love', 'haunted_by_the_past', 'Crimes', 'Dishonesty', 'MYSTERY', 'THRILLER', 'ROMANCE', '20th_century', '50s', 'California', 'San_Francisco', 'USA', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'Twists_and_turns', 'surreal', 'based_on_book', 'Serious', 'Realistic', 'Orchestral', 'Violent_Content']
Track of the Moon Beast	['Offbeat', 'Suspenseful', 'Scary', 'Rough', 'Exciting', 'experiment_gone_awry', 'Mutant', 'Danger', 'Supernatural', 'buddies', 'chase', 'vengeance', 'Escapades', 'HORROR', 'independent', 'FANTASY', 'THRILLER', 'Teens', 'Serious', 'Fantastic']
Toy Story 3	['Feel_Good', 'Humorous', 'Touching', 'Witty', 'buddies', 'daring_rescue', 'getting_home', 'friendship', 'Danger', 'Escapades', 'Heroes', 'Hopes', 'ADVENTURE', 'ANIMATION', 'COMEDY', 'FAMILY', 'Hollywood_Tone', 'FANTASY', 'Family_outing', 'Kids', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Golden_globe_winner', 'Prestigious_Awards', 'All_star_cast', 'Semi_Serious', 'Fantastic', 'Computer_animated', '3D']
Good Will Hunting	['Emotional', 'Feel_Good', 'Sentimental', 'Sincere', 'Touching', 'Captivating', 'Uplifting', 'Gloomy', 'dedicated_educator', 'prodigy', 'underdog', 'human_spirit', 'psychological', 'redemption', 'doctors_and_patients', 'social_differences', 'DRAMA', 'independent', 'Hollywood_Tone', '20th_century', '90s', 'Boston', 'USA', 'University', 'Date_night', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Serious', 'Realistic']
Black Swan	['Stylized', 'Mind_Bending', 'Atmospheric', 'Bleak', 'Sexual', 'Captivating', 'Tense', 'obsession', 'psychological', 'showbiz', 'Ambition', 'Artists_and_showbiz', 'DRAMA', 'independent', 'contemporary', '21st_century', 'New_York', 'USA', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Golden_globe_winner', 'Prestigious_Awards', 'Venice_festival_winner', 'surreal', 'Serious', 'Realistic', 'Slow', 'Strong_Sexual_Content', 'Profanity', 'Violent_Content']
The Bourne Ultimatum	['Rough', 'Suspenseful', 'Exciting', 'Stylized', 'espionage', 'fighting_the_system', 'manhunt', 'on_the_run', 'uncover_truth', 'memory_loss', 'Tough_Heroes', 'Chases_and_races', 'ACTION', 'THRILLER', 'Hollywood_Tone', 'contemporary', '21st_century', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'Twists_and_turns', 'based_on_book', 'Serious', 'Realistic', 'Fast', 'Violent_Content']
The Apartment	['Clever', 'Witty', 'Captivating', 'Cynical', 'Humorous', 'Sentimental', 'Touching', 'fall_in_love', 'love_triangle', 'workplace_romance', 'Dishonesty', 'Love_and_romance', 'Mind_and_soul', 'Workplace', 'Couples', 'COMEDY', 'ROMANCE', 'Hollywood_Tone', 'DRAMA', '20th_century', '60s', 'New_York', 'USA', 'Urban', 'Date_night', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Talky', 'Semi_Serious', 'Realistic']
Full Metal Jacket	['Contemplative', 'Disturbing', 'Rough', 'Witty', 'Biting', 'Bleak', 'soldier', 'anti_war', 'chaos_and_mayhem', 'military_life', 'Battles', 'Military', 'Mind_and_soul', 'Chaos', 'DRAMA', 'WAR', '20th_century', '60s', 'Vietnam_War', 'Asia', 'Vietnam', 'Battle_Zone', 'Military_base', 'award_winner', 'critically_acclaimed', 'Essential', 'Modern_classic', 'Episodic', 'Voice_over', 'gory', 'based_on_book', 'Serious', 'Realistic', 'Profanity', 'Strong_Violent_Content']
My Neighbor Totoro	['Touching', 'Feel_Good', 'Offbeat', 'Stylized', 'mischievous_children', 'supernatural_ability', 'young_heroes', 'friendship', 'parents_and_children', 'siblings_relations', 'teaching_the_ways_of_the_world', 'imaginary_kingdom', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'FANTASY', 'foreign', 'Anime', '20th_century', '50s', 'Asia', 'Japan', 'Countryside', 'Family_outing', 'Kids', 'award_winner', 'critically_acclaimed', 'Fairytale', 'Serious', 'Fantastic']
Manhattan	['Clever', 'Contemplative', 'Witty', 'Humorous', 'Sentimental', 'Sincere', 'introspection', 'couple_relations', 'looking_for_love', 'love_triangle', 'Dishonesty', 'Love_and_romance', 'Mind_and_soul', 'DRAMA', 'ROMANCE', 'COMEDY', '20th_century', '70s', 'New_York', 'USA', 'Urban', 'Date_night', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'Prestigious_Awards', 'Ensemble_cast', 'Talky', 'Semi_Serious', 'Realistic', 'Slow']
Inglourious Basterds	['Atmospheric', 'Rough', 'Stylized', 'Captivating', 'Tense', 'Suspenseful', 'Witty', 'Exciting', 'uninhibited_rivalry', 'vengeance', 'heroic_mission', 'Danger', 'Deadly', 'Rivalry', 'soldier', 'working_undercover', 'WAR', 'PERIOD', 'Postmodernism', '20th_century', '40s', 'World_War_2', 'Europe', 'France', 'Paris', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Cannes_festival_winner', 'Prestigious_Awards', 'controversial', 'Golden_globe_winner', 'Ensemble_cast', 'Episodic', 'gory', 'Talky', 'Epic', 'Voice_over', 'Strong_Female_Presence', 'Dark_Humor', 'Irreverent_humor', 'based_on_film', 'Semi_Serious', 'Realistic', 'Slow', 'Orchestral', 'Profanity', 'Strong_Violent_Content']
Rocky	['Feel_Good', 'Sentimental', 'Captivating', 'Sincere', 'Touching', 'Uplifting', 'underdog', 'contests_and_competitions', 'follow_your_dream', 'athlete_and_trainer', 'Ambition', 'Hopes', 'Life_is_a_bitch', 'DRAMA', 'SPORT', 'Hollywood_Tone', '20th_century', '70s', 'Philadelphia', 'USA', 'Urban_Ghetto', 'Teens', 'Family_outing', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'Serious', 'Realistic', 'Profanity', 'Violent_Content']
Chinatown	['Atmospheric', 'Bleak', 'Captivating', 'Mind_Bending', 'Cynical', 'Clever', 'Contemplative', 'Gloomy', 'private_detective', 'investigation', 'haunted_by_the_past', 'murder', 'Crimes', 'Deadly', 'Dishonesty', 'Life_is_a_bitch', 'MYSTERY', 'Neo_noir', 'DRAMA', 'PERIOD', 'THRILLER', '20th_century', '30s', 'California', 'Los_Angeles', 'USA', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Twists_and_turns', 'Serious', 'Realistic', 'Violent_Content']
Tangents	['Exciting', 'Captivating', 'Suspenseful', 'changing_the_past_or_future', 'save_the_day', 'time_travel', 'Danger', 'Escapades', 'Imaginary', 'master_criminal', 'chase', 'independent', 'ACTION', '20th_century', '90s', 'Future', 'USA', 'Vermont', 'Semi_Serious', 'Fantastic']
Persona	['Atmospheric', 'Contemplative', 'Sexual', 'Captivating', 'Disturbing', 'Gloomy', 'psychological', 'Mind_and_soul', 'mentally_unstable', 'introspection', 'doctors_and_patients', 'mental_illness', 'Misfit', 'DRAMA', 'foreign', 'Experimental', 'Postmodernism', '20th_century', '60s', 'award_winner', 'critically_acclaimed', 'Essential', 'masterpiece', 'surreal', 'Talky', 'Strong_Female_Presence', 'Serious', 'Semi_fantastic', 'Slow']
For a Few Dollars More	['Rough', 'Stylized', 'Witty', 'Exciting', 'Suspenseful', 'Tense', 'Cynical', 'bounty_hunter', 'lone_wolves', 'track_down', 'Tough_Heroes', 'Chases_and_races', 'Crimes', 'Heroes', 'WESTERN', 'Spaghetti_Western', '19th_century', 'Old_west', 'New_Mexico', 'Texas', 'USA', 'Small_town', 'Classic', 'critically_acclaimed', 'Serious', 'Realistic']
In the Mix	['Humorous', 'criminal_heroes', 'gangsters', 'hidden_identity', 'unlikely_couple', 'uninhibited_rivalry', 'couple_relations', 'fall_in_love', 'friendship', 'COMEDY', 'CRIME', 'ROMANCE', 'contemporary', 'New_York', 'USA', 'Date_night', 'Semi_Serious', 'Realistic']
A Fistful of Dollars	['Atmospheric', 'Stylized', 'Suspenseful', 'Exciting', 'Rough', 'lone_wolves', 'Tough_Heroes', 'Dishonesty', 'Heroes', 'Rivalry', 'anti_heroes', 'gang', 'vengeance', 'WESTERN', 'Spaghetti_Western', 'ACTION', 'foreign', '19th_century', 'Old_west', 'Mexico', 'Latin_America', 'Small_town', 'critically_acclaimed', 'Essential', 'remake', 'Serious', 'Realistic', 'Violent_Content']
House of the Dead	['Rough', 'Scary', 'Suspenseful', 'Exciting', 'deadly_creature', 'zombie', 'survival', 'violence_spree', 'Danger', 'Deadly', 'Escapades', 'Supernatural', 'HORROR', 'ACTION', 'THRILLER', 'contemporary', 'Seattle', 'USA', 'Washington', 'Island', 'gory', 'based_on_video_game', 'Serious', 'Fantastic', 'Fast']
A Clockwork Orange	['Atmospheric', 'Bleak', 'Contemplative', 'Disturbing', 'Stylized', 'Captivating', 'Offbeat', 'Thought_Provoking', 'social_misfits', 'violence_spree', 'human_nature', 'future_dystopia', 'Mind_and_soul', 'Misfit', 'Society', 'gang', 'DRAMA', 'Futuristic', 'Postmodernism', 'Future', 'award_winner', 'Classic', 'controversial', 'critically_acclaimed', 'groundbreaking', 'masterpiece', 'Original', 'Satire', 'Dark_Humor', 'based_on_book', 'Serious', 'Semi_fantastic', 'classical', 'Pop', 'Nudity', 'Strong_Violent_Content']
Alone in the Dark	['Suspenseful', 'Scary', 'parents_and_children', 'missing_person', 'Crimes', 'Danger', 'Deadly', 'Mind_and_soul', 'Rivalry', 'Family_problems', 'HORROR', 'THRILLER', '80s', 'gory', 'Serious', 'Realistic']
The Killing	['Atmospheric', 'Clever', 'Suspenseful', 'Stylized', 'Tense', 'criminal_heroes', 'betrayal', 'crime_gone_awry', 'cons_and_scams', 'heist', 'Crimes', 'Dishonesty', 'Disorder', 'CRIME', 'DRAMA', 'Film_noir', '20th_century', '50s', 'critically_acclaimed', 'Essential', 'Nonlinear', 'Voice_over', 'based_on_book', 'Serious', 'Realistic', 'Jazz', 'Violent_Content']
The Third Man	['Atmospheric', 'Clever', 'Captivating', 'Gloomy', 'Stylized', 'Suspenseful', 'Tense', 'investigation', 'uncover_truth', 'murder', 'Crimes', 'Deadly', 'Dishonesty', 'Mind_and_soul', 'mind_game', 'MYSTERY', 'THRILLER', 'Film_noir', '20th_century', '40s', 'Austria', 'Europe', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Cannes_festival_winner', 'Prestigious_Awards', 'oscar_winner', 'Twists_and_turns', 'Voice_over', 'Serious', 'Realistic']
Zaat	['Offbeat', 'Scary', 'mad_scientist', 'experiment_gone_awry', 'Danger', 'Deadly', 'Disorder', 'vengeance', 'Mutant', 'Crimes', 'FANTASY', 'HORROR', 'independent', 'Florida', 'USA', 'Serious', 'Fantastic']
Girl in Gold Boots	['Sexy', 'Sexual', 'Stylized', 'Artists_and_showbiz', 'Lifestyle', 'drug_dealing', 'celebrity_culture', 'Stoners', 'Ambition', 'independent', 'CRIME', 'DRAMA', 'MUSIC', '60s', 'Semi_Serious', 'Realistic']
From Justin to Kelly	['Feel_Good', 'Humorous', 'Touching', 'young_lovers', 'fall_in_love', 'teenage_life', 'Artists_and_showbiz', 'Love_and_romance', 'Youth', 'MUSICAL', 'ROMANCE', 'COMEDY', 'contemporary', 'Florida', 'Miami', 'Pennsylvania', 'Texas', 'USA', 'Date_night', 'Teens', 'Semi_Serious', 'Realistic', 'Pop']
Troll 2	['Scary', 'Humorous', 'Suspenseful', 'ghost', 'mischievous_children', 'supernatural_ability', 'young_heroes', 'good_versus_evil', 'race_against_time', 'parents_and_children', 'child_in_danger', 'HORROR', 'FANTASY', 'THRILLER', 'Small_town', 'Semi_Serious', 'Semi_fantastic']
Zombie Nation	['Rough', 'Suspenseful', 'Scary', 'Tense', 'serial_killer', 'zombie', 'vengeance', 'afterlife', 'plague', 'Crimes', 'Deadly', 'Law_enforcement', 'HORROR', 'THRILLER', 'contemporary', '21st_century', 'gory', 'Serious', 'Fantastic']
Touch of Evil	['Atmospheric', 'Suspenseful', 'Tense', 'Bleak', 'Disturbing', 'Stylized', 'Police_Detective', 'crime_gone_awry', 'fighting_the_system', 'Police_Investigation', 'Police_Corruption', 'Crimes', 'Dishonesty', 'Law_enforcement', 'CRIME', 'DRAMA', 'MYSTERY', 'THRILLER', 'Film_noir', '20th_century', '50s', 'Mexico', 'Latin_America', 'USA', 'Classic', 'critically_acclaimed', 'based_on_book', 'Serious', 'Realistic', 'Violent_Content']
Eternal Sunshine of the Spotless Mind	['Clever', 'Contemplative', 'Gloomy', 'Offbeat', 'Mind_Bending', 'Bittersweet', 'Humorous', 'Sentimental', 'psychological', 'couple_relations', 'experiment_gone_awry', 'memory_loss', 'Love_and_romance', 'Mind_and_soul', 'Unfulfillment', 'Couples', 'DRAMA', 'independent', 'Postmodernism', 'ROMANCE', 'contemporary', '21st_century', 'New_York', 'USA', 'Date_night', 'award_winner', 'critically_acclaimed', 'Essential', 'Original', 'oscar_winner', 'Prestigious_Awards', 'Nonlinear', 'surreal', 'All_star_cast', 'Semi_Serious', 'Semi_fantastic', 'Profanity']
Son of the Mask	['Humorous', 'Feel_Good', 'mischievous_children', 'superhero', 'superhuman_powers', 'rescue', 'save_the_day', 'parents_and_children', 'child_as_adult', 'fish_out_of_water', 'COMEDY', 'FANTASY', 'ADVENTURE', 'FAMILY', 'Family_outing', 'Kids', 'Teens', 'Silly_Humor', 'Semi_Serious', 'Semi_fantastic']
Forrest Gump	['Contemplative', 'Feel_Good', 'Sentimental', 'Sincere', 'Touching', 'Captivating', 'Clever', 'Uplifting', 'mentally_challenged', 'human_spirit', 'americana', 'Hopes', 'Mind_and_soul', 'Misfit', 'Society', 'rise_to_the_top', 'DRAMA', 'Hollywood_Tone', 'PERIOD', '20th_century', '50s', '60s', '70s', 'USA', 'Date_night', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Original', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Epic', 'Voice_over', 'based_on_book', 'Serious', 'Realistic', 'Mild_Violent_Content']
Anatomy of a Murder	['Clever', 'Suspenseful', 'Captivating', 'Disturbing', 'Rough', 'protagonist_as_suspect', 'legal_investigation', 'courtroom_drama', 'murder', 'Crimes', 'Deadly', 'Legal', 'Rivalry', 'DRAMA', '20th_century', '50s', 'Michigan', 'USA', 'Small_town', 'Courtroom', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Prestigious_Awards', 'Venice_festival_winner', 'Talky', 'based_on_book', 'based_on_true_story', 'Serious', 'Realistic', 'Jazz']
The General	['Stylized', 'Cynical', 'Clever', 'Sincere', 'Tense', 'criminal_heroes', 'master_criminal', 'rise_and_fall', 'Ambition', 'Crimes', 'Dishonesty', 'Law_enforcement', 'Mind_and_soul', 'CRIME', 'DRAMA', 'THRILLER', '20th_century', '50s', '80s', '90s', 'Europe', 'Ireland', 'award_winner', 'critically_acclaimed', 'Cannes_festival_winner', 'Prestigious_Awards', 'based_on_book', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Profanity', 'Sexual_Content', 'Violent_Content']
Beauty and the Beast	['Feel_Good', 'Touching', 'Exciting', 'Humorous', 'Stylized', 'young_lovers', 'opposites_attract', 'fall_in_love', 'haunted_by_the_past', 'Physical_Appearance', 'Imaginary', 'Love_and_romance', 'Mind_and_soul', 'ANIMATION', 'FAMILY', 'FANTASY', 'MUSICAL', 'ROMANCE', 'Europe', 'France', 'Village', 'Palaces_Castles_and_Temples', 'Date_night', 'Family_outing', 'Kids', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'Fairytale', 'Strong_Female_Presence', 'based_on_folk_tale', 'Semi_Serious', 'Fantastic', 'Show_Tunes']
Warrior	['Emotional', 'Rough', 'Captivating', 'Bleak', 'Suspenseful', 'Exciting', 'Tense', 'underdog', 'contests_and_competitions', 'parents_and_children', 'dysfunctional_family', 'Estrangement', 'Ambition', 'Rivalry', 'Family_problems', 'DRAMA', 'ACTION', 'SPORT', 'contemporary', '21st_century', 'Pittsburgh', 'USA', 'critically_acclaimed', 'martial_arts', 'Serious', 'Realistic', 'Profanity', 'Violent_Content']
Fight Club	['Atmospheric', 'Bleak', 'Contemplative', 'Disturbing', 'Offbeat', 'Rough', 'Stylized', 'Mind_Bending', 'social_misfits', 'violence_spree', 'obsession', 'social_decay', 'Deadly', 'Life_is_a_bitch', 'Mind_and_soul', 'Postmodernism', 'DRAMA', 'THRILLER', '20th_century', '90s', 'Urban', 'controversial', 'critically_acclaimed', 'cult', 'Essential', 'Original', 'Modern_classic', 'Satire', 'Dark_Humor', 'Twists_and_turns', 'Voice_over', 'surreal', 'based_on_book', 'Semi_Serious', 'Realistic', 'Profanity', 'Sexual_Content', 'Violent_Content']
In the Name of the Father	['Emotional', 'Sincere', 'Captivating', 'Thought_Provoking', 'Sentimental', 'Uplifting', 'dedicated_lawyer', 'tragic_hero', 'fighting_the_system', 'uncover_truth', 'parents_and_children', 'courtroom_drama', 'false_accusation', 'Injustice', 'DRAMA', 'PERIOD', '20th_century', '70s', 'England', 'Europe', 'Ireland', 'Prison', 'award_winner', 'critically_acclaimed', 'Modern_classic', 'Berlin_festival_winner', 'Prestigious_Awards', 'Strong_Female_Presence', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Profanity', 'Violent_Content']
The Big Sleep	['Gloomy', 'Stylized', 'Witty', 'Sexy', 'femme_fatale', 'private_detective', 'betrayal', 'investigation', 'missing_person', 'murder', 'Crimes', 'Deadly', 'CRIME', 'MYSTERY', 'Film_noir', 'Hollywood_Tone', '20th_century', '40s', 'California', 'Los_Angeles', 'USA', 'Classic', 'critically_acclaimed', 'based_on_book', 'Serious', 'Realistic', 'classical', 'Orchestral']
M	['Suspenseful', 'Atmospheric', 'Disturbing', 'Rough', 'Scary', 'Police_Detective', 'serial_killer', 'psychological', 'murder', 'Crimes', 'Deadly', 'Law_enforcement', 'Mind_and_soul', 'CRIME', 'DRAMA', 'THRILLER', 'foreign', '20th_century', '30s', 'Europe', 'Germany', 'Urban', 'Classic', 'critically_acclaimed', 'masterpiece', 'based_on_article', 'Serious', 'Realistic', 'Violent_Content']
